file_index,file_name,file_url
2019000,SCG 2019 GRC Application-10-06-17-FINAL.PDF,https://www.socalgas.com/regulatory/documents/a-17-10-008/SCG 2019 GRC Application-10-06-17-FINAL.PDF
2019001,SCG-01-2R_JBLane_Second_Revised_Direct_Testimony.pdf,https://www.socalgas.com/regulatory/documents/a-17-10-008/SCG-01-2R_JBLane_Second_Revised_Direct_Testimony.pdf
2019002,SCG-02-R_SDG&E-02-R_Ch_1_Day_Prepared_Direct_Testimony.pdf,https://www.socalgas.com/regulatory/documents/a-17-10-008/SCG-02-R_SDG&E-02-R_Ch_1_Day_Prepared_Direct_Testimony.pdf
2019003,SCG-03-R_SDGE-03-R Hal Snyder and Randall Clark REVISED Direct Testimony.pdf,https://www.socalgas.com/regulatory/documents/a-17-10-008/SCG-03-R_SDGE-03-R Hal Snyder and Randall Clark REVISED Direct Testimony.pdf
2019004,SCG-04-R_Orozco-Mejia_Prepared_Direct_Testimony-1.pdf,https://www.socalgas.com/regulatory/documents/a-17-10-008/SCG-04-R_Orozco-Mejia_Prepared_Direct_Testimony-1.pdf
2019005,SCG-05-R_Rivera_Prepared_Direct_Testimony.pdf,https://www.socalgas.com/regulatory/documents/a-17-10-008/SCG-05-R_Rivera_Prepared_Direct_Testimony.pdf
2019006,SCG-06 Musich Prepared Direct Testimony.pdf,https://www.socalgas.com/regulatory/documents/a-17-10-008/SCG-06 Musich Prepared Direct Testimony.pdf
2019007,SCG-07 Musich and Bermel Prepared Direct Testimony.pdf,https://www.socalgas.com/regulatory/documents/a-17-10-008/SCG-07 Musich and Bermel Prepared Direct Testimony.pdf
2019008,SCG-08-R_Bermel_Prepared_Direct_Testimony.pdf,https://www.socalgas.com/regulatory/documents/a-17-10-008/SCG-08-R_Bermel_Prepared_Direct_Testimony.pdf
2019009,SCG-09-R_DHaines_Prepared_Direct_Testimony.pdf,https://www.socalgas.com/regulatory/documents/a-17-10-008/SCG-09-R_DHaines_Prepared_Direct_Testimony.pdf
2019010,SCG-10-R_Navin_Prepared_Direct_Testimony.pdf,https://www.socalgas.com/regulatory/documents/a-17-10-008/SCG-10-R_Navin_Prepared_Direct_Testimony.pdf
2019011,SCG-11 Buczkowski Prepared Direct Testimony_103_1.pdf,https://www.socalgas.com/regulatory/documents/a-17-10-008/SCG-11 Buczkowski Prepared Direct Testimony_103_1.pdf
2019012,SCG-12 Steinberg Prepared Direct Testimony.pdf,https://www.socalgas.com/regulatory/documents/a-17-10-008/SCG-12 Steinberg Prepared Direct Testimony.pdf
2019013,SCG-13 Zornizer Prepared Direct Testimony.pdf,https://www.socalgas.com/regulatory/documents/a-17-10-008/SCG-13 Zornizer Prepared Direct Testimony.pdf
2019014,SCG-14 Martinez Prepared Direct Testimony.pdf,https://www.socalgas.com/regulatory/documents/a-17-10-008/SCG-14 Martinez Prepared Direct Testimony.pdf
2019015,SCG-15-R_RPhillips_Prepared_Direct_Testimony_Revised.pdf,https://www.socalgas.com/regulatory/documents/a-17-10-008/SCG-15-R_RPhillips_Prepared_Direct_Testimony_Revised.pdf
2019016,SCG-16 Lazarus Prepared Direct Testimony.pdf,https://www.socalgas.com/regulatory/documents/a-17-10-008/SCG-16 Lazarus Prepared Direct Testimony.pdf
2019017,SCG-17-R_RGarcia_Revised_Direct_Testimony.pdf,https://www.socalgas.com/regulatory/documents/a-17-10-008/SCG-17-R_RGarcia_Revised_Direct_Testimony.pdf
2019018,SCG-18-R_Marelli_Prepared_Direct_Testimony.pdf,https://www.socalgas.com/regulatory/documents/a-17-10-008/SCG-18-R_Marelli_Prepared_Direct_Testimony.pdf
2019019,A_17-10-007_008_SCG-19-S MBaldwin_Supplemental_Testimony.pdf,https://www.socalgas.com/regulatory/documents/a-17-10-008/A_17-10-007_008_SCG-19-S MBaldwin_Supplemental_Testimony.pdf
2019020,SCG-19-R Baldwin Revised Prepared Direct Testimony.pdf,https://www.socalgas.com/regulatory/documents/a-17-10-008/SCG-19-R Baldwin Revised Prepared Direct Testimony.pdf
2019021,SCG-20-R Cheung Revised Prepared Direct Testimony.pdf,https://www.socalgas.com/regulatory/documents/a-17-10-008/SCG-20-R Cheung Revised Prepared Direct Testimony.pdf
2019022,SCG-21 Alexander Prepared Direct Testimony.pdf,https://www.socalgas.com/regulatory/documents/a-17-10-008/SCG-21 Alexander Prepared Direct Testimony.pdf
2019023,SCG-22-SDGE-20 Willoughby Prepared Direct Testimony.pdf,https://www.socalgas.com/regulatory/documents/a-17-10-008/SCG-22-SDGE-20 Willoughby Prepared Direct Testimony.pdf
2019024,SCG-23-R_Herrera_Prepared_Direct_Testimony_Revised.pdf,https://www.socalgas.com/regulatory/documents/a-17-10-008/SCG-23-R_Herrera_Prepared_Direct_Testimony_Revised.pdf
2019025,SCG-24 Tattersall Prepared Direct Testimony.pdf,https://www.socalgas.com/regulatory/documents/a-17-10-008/SCG-24 Tattersall Prepared Direct Testimony.pdf
2019026,SCG-25-R_Johnson_Prepared_Direct_Testimony.pdf,https://www.socalgas.com/regulatory/documents/a-17-10-008/SCG-25-R_Johnson_Prepared_Direct_Testimony.pdf
2019027,SCG-26 Olmsted Prepared Direct Testimony.pdf,https://www.socalgas.com/regulatory/documents/a-17-10-008/SCG-26 Olmsted Prepared Direct Testimony.pdf
2019028,SCG-27-R Worden Revised Prepared Direct Testimony.pdf,https://www.socalgas.com/regulatory/documents/a-17-10-008/SCG-27-R Worden Revised Prepared Direct Testimony.pdf
2019029,SCG-28-R_SDGE-26-R Mia DeMontigny Revised Prepared Direct Testimony.pdf,https://www.socalgas.com/regulatory/documents/a-17-10-008/SCG-28-R_SDGE-26-R Mia DeMontigny Revised Prepared Direct Testimony.pdf
2019030,SCG-29 -SDGE-27Cayabyab Prepared Direct Testimony_.pdf,https://www.socalgas.com/regulatory/documents/a-17-10-008/SCG-29 -SDGE-27Cayabyab Prepared Direct Testimony_.pdf
2019031,SDG&E-28_SCG-30_Robinson_Prepared_Direct_Testimony.pdf,https://www.socalgas.com/regulatory/documents/a-17-10-008/SDG&E-28_SCG-30_Robinson_Prepared_Direct_Testimony.pdf
2019032,SCG-31_SDG&E-29 Robinson Prepared Direct Testimony.pdf,https://www.socalgas.com/regulatory/documents/a-17-10-008/SCG-31_SDG&E-29 Robinson Prepared Direct Testimony.pdf
2019033,SCG-32 Gevorkian Prepared Direct Testimony.pdf,https://www.socalgas.com/regulatory/documents/a-17-10-008/SCG-32 Gevorkian Prepared Direct Testimony.pdf
